Game,Unnamed: 1,Score,Unnamed: 3,Unnamed: 4,Patch,Date,CSM_x,DPM_x,DRA%_x,DRA@15_x,DRAPG_x,Deaths / game_x,FB%_x,FT%_x,GD@15_x,GDM_x,GPM_x,Game duration_x,Games_x,HER%_x,HERPG_x,K:D_x,Kills / game_x,NASH%_x,NASHPG_x,Name_x,Region_x,Season_x,TD@15_x,Towers killed_x,Towers lost_x,VWPM_x,WCPM_x,WPM_x,Win rate_x,CSM_y,DPM_y,DRA%_y,DRA@15_y,DRAPG_y,Deaths / game_y,FB%_y,FT%_y,GD@15_y,GDM_y,GPM_y,Game duration_y,Games_y,HER%_y,HERPG_y,K:D_y,Kills / game_y,NASH%_y,NASHPG_y,Name_y,Region_y,Season_y,TD@15_y,Towers killed_y,Towers lost_y,VWPM_y,WCPM_y,WPM_y,Win rate_y
VIT vs Fnatic,Team Vitality,0 - 1,Fnatic,WEEK1,12.1,2022-01-15,34.9,2041.0,47.6,1.11,2.11,13.2,11.1,44.4,620.0,101.0,1882.0,32:09,9.0,44.4,0.89,1.02,13.4,55.6,0.56,Team Vitality,EUW,S12,0.0,6.8,5.8,1.2,1.46,3.1,55.6%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
SK Gaming vs Fnatic,SK Gaming,0 - 1,Fnatic,WEEK1,12.1,2022-01-16,32.0,1785.0,47.2,0.89,2.22,15.8,44.4,22.2,-2006.0,-232.0,1684.0,33:42,9.0,38.9,0.78,0.71,11.2,16.7,0.33,SK Gaming,EUW,S12,-0.6,3.7,8.9,1.31,1.31,3.3,22.2%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
Rogue vs Fnatic,Rogue,1 - 0,Fnatic,WEEK3,12.2,2022-01-28,32.9,2279.0,66.7,0.89,2.44,6.7,66.7,77.8,1707.0,376.0,1990.0,28:58,9.0,50.0,1.0,2.6,17.3,94.4,1.22,Rogue,EUW,S12,0.6,9.4,2.6,1.16,1.46,3.2,100.0%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
MAD Lions vs Fnatic,MAD Lions,0 - 1,Fnatic,WEEK4,12.2,2022-02-04,32.8,2064.0,43.7,0.22,2.11,16.1,66.7,66.7,397.0,33.0,1822.0,36:05,9.0,66.7,1.33,0.94,15.2,40.7,0.89,MAD Lions,EUW,S12,0.1,7.1,6.0,1.33,1.46,3.3,55.6%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
Fnatic vs XL,Excel Esports,1 - 0,Fnatic,WEEK4,12.2,2022-02-05,32.1,1903.0,48.9,0.89,2.44,12.8,66.7,44.4,-60.0,-62.0,1751.0,34:48,9.0,38.9,0.78,0.91,11.7,50.0,0.78,Excel Esports,EUW,S12,-0.2,6.9,6.6,1.49,1.39,3.6,44.4%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
Fnatic vs Astralis,Astralis,0 - 1,Fnatic,WEEK2,12.1,2022-01-21,31.6,1670.0,31.3,0.33,1.56,15.4,55.6,22.2,-1089.0,-264.0,1661.0,34:13,9.0,22.2,0.44,0.71,11.0,20.4,0.33,Astralis,EUW,S12,-0.4,2.9,9.1,1.56,1.36,3.4,0.0%,33.7,1981.0,66.3,1.0,3.11,11.7,33.3,77.8,1208.0,74.0,1830.0,32:51,9.0,55.6,1.11,1.05,12.2,66.7,0.89,Fnatic,EUW,S12,0.6,6.9,5.6,1.2,1.44,3.4,66.7%
SK Gaming vs XL,SK Gaming,0 - 1,Excel Esports,WEEK2,12.1,2022-01-22,32.0,1785.0,47.2,0.89,2.22,15.8,44.4,22.2,-2006.0,-232.0,1684.0,33:42,9.0,38.9,0.78,0.71,11.2,16.7,0.33,SK Gaming,EUW,S12,-0.6,3.7,8.9,1.31,1.31,3.3,22.2%,32.1,1903.0,48.9,0.89,2.44,12.8,66.7,44.4,-60.0,-62.0,1751.0,34:48,9.0,38.9,0.78,0.91,11.7,50.0,0.78,Excel Esports,EUW,S12,-0.2,6.9,6.6,1.49,1.39,3.6,44.4%
Rogue vs XL,Rogue,1 - 0,Excel Esports,WEEK4,12.2,2022-02-04,32.9,2279.0,66.7,0.89,2.44,6.7,66.7,77.8,1707.0,376.0,1990.0,28:58,9.0,50.0,1.0,2.6,17.3,94.4,1.22,Rogue,EUW,S12,0.6,9.4,2.6,1.16,1.46,3.2,100.0%,32.1,1903.0,48.9,0.89,2.44,12.8,66.7,44.4,-60.0,-62.0,1751.0,34:48,9.0,38.9,0.78,0.91,11.7,50.0,0.78,Excel Esports,EUW,S12,-0.2,6.9,6.6,1.49,1.39,3.6,44.4%
MSF vs XL,Misfits Gaming,1 - 0,Excel Esports,WEEK2,12.1,2022-01-21,33.2,2039.0,51.3,0.89,2.22,13.6,44.4,55.6,-244.0,90.0,1879.0,31:25,9.0,61.1,1.22,1.03,14.0,63.0,1.11,Misfits Gaming,EUW,S12,0.1,7.8,4.9,1.3,1.38,3.1,55.6%,32.1,1903.0,48.9,0.89,2.44,12.8,66.7,44.4,-60.0,-62.0,1751.0,34:48,9.0,38.9,0.78,0.91,11.7,50.0,0.78,Excel Esports,EUW,S12,-0.2,6.9,6.6,1.49,1.39,3.6,44.4%
XL vs Astralis,Astralis,0 - 1,Excel Esports,WEEK3,12.2,2022-01-29,31.6,1670.0,31.3,0.33,1.56,15.4,55.6,22.2,-1089.0,-264.0,1661.0,34:13,9.0,22.2,0.44,0.71,11.0,20.4,0.33,Astralis,EUW,S12,-0.4,2.9,9.1,1.56,1.36,3.4,0.0%,32.1,1903.0,48.9,0.89,2.44,12.8,66.7,44.4,-60.0,-62.0,1751.0,34:48,9.0,38.9,0.78,0.91,11.7,50.0,0.78,Excel Esports,EUW,S12,-0.2,6.9,6.6,1.49,1.39,3.6,44.4%
VIT vs MSF,Team Vitality,1 - 0,Misfits Gaming,WEEK4,12.2,2022-02-04,34.9,2041.0,47.6,1.11,2.11,13.2,11.1,44.4,620.0,101.0,1882.0,32:09,9.0,44.4,0.89,1.02,13.4,55.6,0.56,Team Vitality,EUW,S12,0.0,6.8,5.8,1.2,1.46,3.1,55.6%,33.2,2039.0,51.3,0.89,2.22,13.6,44.4,55.6,-244.0,90.0,1879.0,31:25,9.0,61.1,1.22,1.03,14.0,63.0,1.11,Misfits Gaming,EUW,S12,0.1,7.8,4.9,1.3,1.38,3.1,55.6%
